기간	구분	성별	합계	20세미만	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85세이상
2019	합계	계	1,299,787	12,806	116,592	216,707	166,340	121,980	85,728	90,140	78,665	84,285	88,456	67,696	61,035	51,747	35,227	22,383
2019	합계	남자	611,561	5,010	41,263	106,618	92,561	68,322	48,156	52,545	46,217	44,855	38,575	25,180	18,463	12,486	7,167	4,143
2019	합계	여자	688,226	7,796	75,329	110,089	73,779	53,658	37,572	37,595	32,448	39,430	49,881	42,516	42,572	39,261	28,060	18,240
2019	종로구	계	24,671	507	3,280	3,903	2,647	1,872	1,405	1,704	1,521	1,718	1,572	1,201	1,120	1,047	704	470
2019	종로구	남자	11,942	158	1,236	2,178	1,466	959	727	944	880	993	817	562	416	320	170	116
2019	종로구	여자	12,729	349	2,044	1,725	1,181	913	678	760	641	725	755	639	704	727	534	354
2019	중구	계	22,078	489	2,251	3,054	2,561	1,920	1,462	1,554	1,467	1,534	1,567	1,180	1,031	896	652	460
2019	중구	남자	10,677	164	807	1,572	1,403	1,046	800	906	889	888	815	546	373	218	158	92
2019	중구	여자	11,401	325	1,444	1,482	1,158	874	662	648	578	646	752	634	658	678	494	368
2019	용산구	계	35,148	252	2,636	5,349	4,985	3,959	2,701	2,729	2,158	2,104	2,112	1,596	1,460	1,321	1,075	711
2019	용산구	남자	16,204	60	517	2,532	2,747	2,158	1,470	1,524	1,240	1,187	1,029	671	448	296	202	123
2019	용산구	여자	18,944	192	2,119	2,817	2,238	1,801	1,231	1,205	918	917	1,083	925	1,012	1,025	873	588
2019	성동구	계	41,488	587	4,709	6,878	4,907	3,655	2,752	2,990	2,670	2,715	2,713	1,942	1,715	1,557	1,082	616
2019	성동구	남자	20,525	240	2,016	3,696	2,775	2,032	1,566	1,722	1,687	1,538	1,382	743	473	347	198	110
2019	성동구	여자	20,963	347	2,693	3,182	2,132	1,623	1,186	1,268	983	1,177	1,331	1,199	1,242	1,210	884	506
2019	광진구	계	58,714	576	6,710	11,939	8,398	5,649	3,767	3,711	3,423	3,544	3,392	2,286	1,959	1,621	1,060	679
2019	광진구	남자	28,035	212	2,429	5,864	4,424	2,980	2,130	2,163	2,071	1,932	1,570	885	659	400	211	105
2019	광진구	여자	30,679	364	4,281	6,075	3,974	2,669	1,637	1,548	1,352	1,612	1,822	1,401	1,300	1,221	849	574
2019	동대문구	계	58,152	1,543	10,659	9,771	5,351	3,895	3,031	3,289	3,119	3,442	3,618	2,921	2,674	2,412	1,539	888
2019	동대문구	남자	29,176	602	4,460	5,708	3,202	2,313	1,808	2,059	2,010	1,992	1,734	1,249	879	638	335	187
2019	동대문구	여자	28,976	941	6,199	4,063	2,149	1,582	1,223	1,230	1,109	1,450	1,884	1,672	1,795	1,774	1,204	701
