기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2019	합계	계	1,299,787	1,100,060	524,735	286,571	19,555	223,927	45,272	199,727
2019	합계	남자	611,561	509,621	268,965	109,124	7,832	99,066	24,634	101,940
2019	합계	여자	688,226	590,439	255,770	177,447	11,723	124,861	20,638	97,787
2019	종로구	계	24,671	20,018	11,354	3,336	927	3,476	925	4,653
2019	종로구	남자	11,942	9,306	5,653	1,409	333	1,468	443	2,636
2019	종로구	여자	12,729	10,712	5,701	1,927	594	2,008	482	2,017
2019	중구	계	22,078	17,378	7,169	6,589	345	2,450	825	4,700
2019	중구	남자	10,677	8,024	3,517	2,738	146	1,176	447	2,653
2019	중구	여자	11,401	9,354	3,652	3,851	199	1,274	378	2,047
2019	용산구	계	35,148	30,263	16,782	6,162	771	5,954	594	4,885
2019	용산구	남자	16,204	13,553	7,873	2,312	328	2,733	307	2,651
2019	용산구	여자	18,944	16,710	8,909	3,850	443	3,221	287	2,234
2019	성동구	계	41,488	36,487	19,009	12,167	284	3,455	1,572	5,001
2019	성동구	남자	20,525	17,852	10,639	4,630	118	1,607	858	2,673
2019	성동구	여자	20,963	18,635	8,370	7,537	166	1,848	714	2,328
2019	광진구	계	58,714	52,345	34,357	4,142	557	10,857	2,432	6,369
2019	광진구	남자	28,035	24,993	17,395	1,565	200	4,551	1,282	3,042
2019	광진구	여자	30,679	27,352	16,962	2,577	357	6,306	1,150	3,327
2019	동대문구	계	58,152	50,021	29,191	11,962	694	5,628	2,546	8,131
2019	동대문구	남자	29,176	24,830	15,476	4,890	313	2,748	1,403	4,346
2019	동대문구	여자	28,976	25,191	13,715	7,072	381	2,880	1,143	3,785
2019	중랑구	계	52,196	48,599	29,517	8,886	890	7,692	1,614	3,597
2019	중랑구	남자	25,988	23,967	15,866	3,349	355	3,503	894	2,021
2019	중랑구	여자	26,208	24,632	13,651	5,537	535	4,189	720	1,576
2019	성북구	계	57,832	53,089	28,593	12,168	1,206	8,305	2,817	4,743
2019	성북구	남자	26,131	23,800	13,702	4,678	490	3,548	1,382	2,331
2019	성북구	여자	31,701	29,289	14,891	7,490	716	4,757	1,435	2,412
2019	강북구	계	42,791	39,843	21,490	6,993	905	9,500	955	2,948
2019	강북구	남자	19,517	17,770	10,530	2,520	336	3,880	504	1,747
2019	강북구	여자	23,274	22,073	10,960	4,473	569	5,620	451	1,201
2019	도봉구	계	32,653	29,897	12,137	10,374	654	6,131	601	2,756
2019	도봉구	남자	14,396	12,804	6,185	3,473	254	2,558	334	1,592
2019	도봉구	여자	18,257	17,093	5,952	6,901	400	3,573	267	1,164
2019	노원구	계	53,365	50,960	11,610	33,073	701	4,632	944	2,405
2019	노원구	남자	22,556	20,977	6,192	11,699	301	2,221	564	1,579
2019	노원구	여자	30,809	29,983	5,418	21,374	400	2,411	380	826
2019	은평구	계	52,814	45,351	17,926	8,711	907	16,770	1,037	7,463
2019	은평구	남자	23,209	19,793	8,560	3,320	340	7,017	556	3,416
